# time, vmax, integral, width, baseline, dt
71.077515,170.657150,5679.043945,43.596497,2.342857,0.131775
71.169342,169.628571,6788.415527,56.343712,2.371428,0.091827
71.260063,164.699997,3635.496582,28.734337,2.300000,0.090721
71.420456,167.757141,6909.921875,57.404381,2.242857,0.160393
71.510239,169.971436,6998.061035,57.087830,2.028571,0.089783
71.764748,157.457138,3194.142822,26.190002,1.542857,0.254509
71.827835,168.771423,6997.959473,57.458572,2.228571,0.063087
71.887787,171.542862,6905.729004,57.598663,2.457143,0.059952
72.111786,165.242859,6907.948242,57.556328,1.757143,0.223999
72.247795,168.957138,6614.928223,54.162994,2.042857,0.136009
72.846107,172.314285,6361.813477,52.968002,2.685714,0.598312
72.861862,169.842850,6505.854492,52.762138,2.157143,0.015755
72.972481,167.685715,6883.603516,57.346291,2.314286,0.110619
73.010796,168.414291,6819.068359,56.640472,2.585714,0.038315
73.067284,160.857147,3381.525391,27.199989,2.142857,0.056488
73.728088,168.357147,6932.099609,56.720947,1.642857,0.660805
73.744301,169.128571,7023.610352,57.497620,1.871429,0.016212
73.784348,171.399994,6994.796875,57.110092,1.600000,0.040047
73.833679,168.542862,6620.759277,53.352852,1.457143,0.049332
73.854462,172.857147,6659.555664,53.285721,2.142857,0.020782
74.019623,162.871429,3601.706543,30.202332,2.128572,0.165161
74.091515,171.014282,6555.404785,52.053520,1.985714,0.071892
74.215378,170.514282,6897.159180,57.505707,2.485714,0.123863
